client_id,process_step,Variation,time_diff_seconds
235037,1,Test,17.0
235156,1,Test,5.0
235342,1,Test,53.0
236486,1,Control,6.0
236511,1,Test,16.0
236546,1,Control,19.0
236696,1,Test,5.0
237072,1,Test,0.0
237500,1,Control,33.0
237511,1,Test,119.0
237525,1,Control,33.0
237611,1,Test,4.0
237686,1,Test,0.0
237822,1,Control,138.0
237927,1,Control,31.000000000000004
238091,1,Test,76.0
238154,1,Control,10.0
238320,1,Control,0.0
238490,1,Control,55.0
238874,1,Control,10.0
239127,1,Test,5.0
239136,1,Control,135.0
239291,1,Test,6.0
239772,1,Control,18.0
239815,1,Control,12.0
240288,1,Control,21.0
240560,1,Test,27.0
241057,1,Control,7.0
241085,1,Test,115.0
242197,1,Test,122.0
242235,1,Test,6.0
242241,1,Control,25.0
242262,1,Control,33.0
242576,1,Test,42.0
242792,1,Control,0.0
242922,1,Control,7.0
243705,1,Test,13.0
244011,1,Test,7.0
244283,1,Test,143.0
244304,1,Control,13.0
244487,1,Test,7.0
244897,1,Control,93.0
245270,1,Control,43.0
245312,1,Test,108.0
245646,1,Control,22.0
246429,1,Test,10.0
246710,1,Test,12.0
246812,1,Test,6.0
246901,1,Test,89.0
246911,1,Control,9.0
248317,1,Test,12.0
248426,1,Test,17.0
248485,1,Control,25.0
248531,1,Test,3.0
248569,1,Test,3.0
249333,1,Control,9.0
249632,1,Test,5.0
249680,1,Control,16.0
249743,1,Control,11.0
250165,1,Control,25.0
250277,1,Control,7.0
250645,1,Test,9.0
250763,1,Control,7.0
251184,1,Control,73.0
251242,1,Control,121.00000000000001
251414,1,Test,15.000000000000002
251479,1,Control,38.0
251519,1,Test,0.0
251727,1,Control,7.0
251748,1,Test,7.0
252002,1,Control,16.0
252509,1,Control,28.0
252667,1,Test,11.0
252744,1,Control,0.0
252898,1,Test,79.0
253049,1,Test,18.0
253211,1,Test,8.0
253639,1,Test,58.0
253737,1,Control,43.0
253977,1,Control,76.0
254266,1,Control,55.0
254302,1,Test,4.0
254417,1,Test,13.0
254491,1,Control,49.0
254505,1,Test,7.0
254529,1,Control,23.0
254604,1,Test,72.0
254909,1,Control,20.0
254955,1,Test,4.0
255668,1,Control,49.0
255743,1,Control,22.0
256308,1,Control,0.0
256318,1,Control,4.0
256325,1,Test,0.0
